player1,player2,winner,score1,score2,board,time
team12_A3,greedy_player,team12_A3,14,4,empty-2x2,0.1
greedy_player,team12_A3,team12_A3,3,15,empty-2x2,0.1
team12_A3,greedy_player,team12_A3,17,3,empty-2x2,0.1
greedy_player,team12_A3,team12_A3,2,17,empty-2x2,0.1
team12_A3,greedy_player,greedy_player,5,13,empty-2x2,0.1
greedy_player,team12_A3,team12_A3,3,15,empty-2x2,0.1
team12_A3,greedy_player,team12_A3,18,7,empty-2x3,0.1
greedy_player,team12_A3,team12_A3,6,19,empty-2x3,0.1
team12_A3,greedy_player,team12_A3,19,6,empty-2x3,0.1
greedy_player,team12_A3,team12_A3,10,16,empty-2x3,0.1
team12_A3,greedy_player,team12_A3,14,11,empty-2x3,0.1
greedy_player,team12_A3,team12_A3,5,20,empty-2x3,0.1
team12_A3,greedy_player,team12_A3,27,11,empty-3x3,0.1
greedy_player,team12_A3,team12_A3,9,26,empty-3x3,0.1
team12_A3,greedy_player,team12_A3,22,13,empty-3x3,0.1
greedy_player,team12_A3,team12_A3,9,26,empty-3x3,0.1
team12_A3,greedy_player,team12_A3,19,16,empty-3x3,0.1
greedy_player,team12_A3,greedy_player,18,17,empty-3x3,0.1
team12_A3,greedy_player,team12_A3,0,0,empty-3x4,0.1
greedy_player,team12_A3,team12_A3,14,37,empty-3x4,0.1
team12_A3,greedy_player,team12_A3,30,15,empty-3x4,0.1
greedy_player,team12_A3,greedy_player,23,22,empty-3x4,0.1
team12_A3,greedy_player,team12_A3,31,14,empty-3x4,0.1
greedy_player,team12_A3,team12_A3,13,34,empty-3x4,0.1
team12_A3,greedy_player,team12_A3,31,29,empty-4x4,0.1
greedy_player,team12_A3,team12_A3,14,49,empty-4x4,0.1
team12_A3,greedy_player,team12_A3,44,14,empty-4x4,0.1
greedy_player,team12_A3,team12_A3,19,42,empty-4x4,0.1
team12_A3,greedy_player,team12_A3,42,19,empty-4x4,0.1
greedy_player,team12_A3,team12_A3,17,41,empty-4x4,0.1
team12_A3,greedy_player,team12_A3,15,3,empty-2x2,0.5
greedy_player,team12_A3,team12_A3,6,12,empty-2x2,0.5
team12_A3,greedy_player,team12_A3,14,4,empty-2x2,0.5
greedy_player,team12_A3,team12_A3,2,16,empty-2x2,0.5
team12_A3,greedy_player,team12_A3,12,6,empty-2x2,0.5
greedy_player,team12_A3,team12_A3,3,15,empty-2x2,0.5
team12_A3,greedy_player,team12_A3,19,7,empty-2x3,0.5
greedy_player,team12_A3,team12_A3,6,19,empty-2x3,0.5
team12_A3,greedy_player,team12_A3,20,5,empty-2x3,0.5
greedy_player,team12_A3,team12_A3,13,14,empty-2x3,0.5
team12_A3,greedy_player,team12_A3,23,5,empty-2x3,0.5
greedy_player,team12_A3,team12_A3,6,19,empty-2x3,0.5
team12_A3,greedy_player,team12_A3,29,10,empty-3x3,0.5
greedy_player,team12_A3,team12_A3,8,29,empty-3x3,0.5
team12_A3,greedy_player,team12_A3,28,8,empty-3x3,0.5
greedy_player,team12_A3,team12_A3,7,31,empty-3x3,0.5
team12_A3,greedy_player,team12_A3,27,9,empty-3x3,0.5
greedy_player,team12_A3,team12_A3,8,30,empty-3x3,0.5
team12_A3,greedy_player,team12_A3,33,12,empty-3x4,0.5
greedy_player,team12_A3,team12_A3,12,36,empty-3x4,0.5
team12_A3,greedy_player,team12_A3,35,13,empty-3x4,0.5
greedy_player,team12_A3,team12_A3,14,37,empty-3x4,0.5
team12_A3,greedy_player,team12_A3,34,11,empty-3x4,0.5
greedy_player,team12_A3,team12_A3,13,35,empty-3x4,0.5
team12_A3,greedy_player,team12_A3,38,22,empty-4x4,0.5
greedy_player,team12_A3,team12_A3,15,48,empty-4x4,0.5
team12_A3,greedy_player,greedy_player,26,36,empty-4x4,0.5
greedy_player,team12_A3,team12_A3,33,34,empty-4x4,0.5
team12_A3,greedy_player,team12_A3,41,21,empty-4x4,0.5
greedy_player,team12_A3,team12_A3,18,46,empty-4x4,0.5
team12_A3,greedy_player,team12_A3,14,4,empty-2x2,1.0
greedy_player,team12_A3,team12_A3,3,15,empty-2x2,1.0
team12_A3,greedy_player,team12_A3,18,3,empty-2x2,1.0
greedy_player,team12_A3,team12_A3,6,12,empty-2x2,1.0
team12_A3,greedy_player,team12_A3,15,6,empty-2x2,1.0
greedy_player,team12_A3,team12_A3,3,15,empty-2x2,1.0
team12_A3,greedy_player,team12_A3,24,4,empty-2x3,1.0
greedy_player,team12_A3,team12_A3,5,21,empty-2x3,1.0
team12_A3,greedy_player,team12_A3,21,4,empty-2x3,1.0
greedy_player,team12_A3,team12_A3,5,20,empty-2x3,1.0
team12_A3,greedy_player,team12_A3,22,5,empty-2x3,1.0
greedy_player,team12_A3,team12_A3,6,19,empty-2x3,1.0
team12_A3,greedy_player,team12_A3,26,11,empty-3x3,1.0
greedy_player,team12_A3,team12_A3,8,29,empty-3x3,1.0
team12_A3,greedy_player,team12_A3,23,12,empty-3x3,1.0
greedy_player,team12_A3,team12_A3,8,30,empty-3x3,1.0
team12_A3,greedy_player,greedy_player,14,23,empty-3x3,1.0
greedy_player,team12_A3,team12_A3,9,26,empty-3x3,1.0
team12_A3,greedy_player,team12_A3,32,13,empty-3x4,1.0
greedy_player,team12_A3,team12_A3,11,35,empty-3x4,1.0
team12_A3,greedy_player,team12_A3,35,13,empty-3x4,1.0
