player1,player2,winner,score1,score2,board,time
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,8,29,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_check_uns,12,29,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_check_uns,28,11,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_check_uns,18,25,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,8,28,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_check_uns,11,26,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_check_uns,25,13,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_finish_term_1,30,8,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_check_uns,23,13,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_check_uns,18,22,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,8,30,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_check_uns,10,30,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,9,26,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_finish_term_1,30,6,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,10,25,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_finish_term_1,31,8,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_check_uns,25,14,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_finish_term_1,28,7,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,10,28,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_check_uns,14,21,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,5,32,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_check_uns,14,25,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,8,28,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_finish_term_1,29,9,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,5,39,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_check_uns,12,23,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_check_uns,27,16,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_check_uns,11,30,empty-3x3,0.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,8,29,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_finish_term_1,28,12,empty-3x3,0.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_finish_term_1,26,11,empty-3x3,2.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,12,25,empty-3x3,2.5
team12_A3_finish_term_1,team12_A3_check_uns,team12_A3_check_uns,9,29,empty-3x3,2.5
team12_A3_check_uns,team12_A3_finish_term_1,team12_A3_finish_term_1,9,29,empty-3x3,2.5
