player1,player2,winner,score1,score2,board,time
team12_A2,team12_A3_finish_term_05,team12_A2,32,11,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A3_finish_term_05,30,8,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A2,26,13,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A3_finish_term_05,29,11,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A3_finish_term_05,8,33,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A2,8,27,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A2,32,7,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A2,12,28,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A3_finish_term_05,11,24,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A3_finish_term_05,28,9,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A2,29,8,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A2,9,31,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A2,22,13,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A3_finish_term_05,30,8,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A3_finish_term_05,11,29,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A2,13,22,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A2,29,9,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A3_finish_term_05,29,10,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A3_finish_term_05,15,25,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A3_finish_term_05,30,11,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A2,26,9,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A2,10,25,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A2,33,10,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A2,10,28,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A3_finish_term_05,8,29,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A3_finish_term_05,26,12,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A3_finish_term_05,10,32,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A3_finish_term_05,31,8,empty-3x3,0.5
team12_A2,team12_A3_finish_term_05,team12_A2,29,10,empty-3x3,0.5
team12_A3_finish_term_05,team12_A2,team12_A3_finish_term_05,27,14,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,11,31,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,26,9,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,10,28,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,22,14,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,12,29,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,26,13,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,12,24,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,32,7,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,12,28,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,24,14,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A2,33,8,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,22,15,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,10,30,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,25,13,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,14,26,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,29,9,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A2,29,8,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,28,9,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,13,22,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A2,8,29,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,8,31,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,23,13,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,12,23,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,28,10,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,11,24,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,28,9,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A2,30,8,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,29,9,empty-3x3,0.5
team12_A2,team12_A3_finish_term_1,team12_A3_finish_term_1,9,30,empty-3x3,0.5
team12_A3_finish_term_1,team12_A2,team12_A3_finish_term_1,25,13,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A3_finish_term_10,9,28,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A2,16,23,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A2,20,16,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A2,16,19,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A3_finish_term_10,13,22,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A3_finish_term_10,25,13,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A3_finish_term_10,14,21,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A2,15,25,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A3_finish_term_10,12,28,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,draw,19,19,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A2,18,17,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A3_finish_term_10,32,10,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A3_finish_term_10,12,27,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A3_finish_term_10,18,17,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A3_finish_term_10,15,26,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A3_finish_term_10,22,14,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A3_finish_term_10,14,25,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A3_finish_term_10,20,15,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A3_finish_term_10,13,28,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A3_finish_term_10,25,11,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A3_finish_term_10,18,27,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A2,17,22,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A2,31,7,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A3_finish_term_10,26,12,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A2,21,20,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A2,19,20,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,draw,20,20,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A3_finish_term_10,21,15,empty-3x3,0.5
team12_A2,team12_A3_finish_term_10,team12_A2,19,18,empty-3x3,0.5
team12_A3_finish_term_10,team12_A2,team12_A3_finish_term_10,25,13,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A3_finish_term_100,17,19,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A3_finish_term_100,20,19,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A2,32,4,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A3_finish_term_100,19,17,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A2,32,6,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A3_finish_term_100,21,14,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A3_finish_term_100,20,23,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,draw,18,18,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A3_finish_term_100,14,21,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A3_finish_term_100,19,16,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A3_finish_term_100,16,19,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A3_finish_term_100,23,14,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A2,20,19,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A2,13,26,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A3_finish_term_100,15,20,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A2,10,25,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A3_finish_term_100,15,21,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A2,7,31,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A3_finish_term_100,16,20,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A3_finish_term_100,28,13,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A2,19,16,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A2,15,21,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A3_finish_term_100,16,24,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A3_finish_term_100,23,15,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A3_finish_term_100,12,23,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A3_finish_term_100,26,12,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A3_finish_term_100,16,19,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A3_finish_term_100,28,15,empty-3x3,0.5
team12_A2,team12_A3_finish_term_100,team12_A2,21,15,empty-3x3,0.5
team12_A3_finish_term_100,team12_A2,team12_A3_finish_term_100,22,16,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,11,29,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,23,12,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,9,29,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,27,13,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,12,23,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,26,9,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,9,33,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,26,11,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,10,26,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,33,9,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,13,23,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A2,14,24,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,15,23,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,23,15,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,8,29,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,24,11,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,11,28,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A2,13,24,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,13,25,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,22,15,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A2,29,10,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,27,12,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,12,23,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,27,11,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,11,25,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A2,9,26,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,11,28,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,26,13,empty-3x3,0.5
team12_A2,team12_A3_finish_term_2,team12_A3_finish_term_2,10,28,empty-3x3,0.5
team12_A3_finish_term_2,team12_A2,team12_A3_finish_term_2,28,10,empty-3x3,0.5
team12_A2,team12_A3_finish_term_25,team12_A3_finish_term_25,11,27,empty-3x3,0.5
team12_A3_finish_term_25,team12_A2,team12_A3_finish_term_25,30,9,empty-3x3,0.5
team12_A2,team12_A3_finish_term_25,team12_A3_finish_term_25,16,21,empty-3x3,0.5
team12_A3_finish_term_25,team12_A2,team12_A3_finish_term_25,25,15,empty-3x3,0.5
team12_A2,team12_A3_finish_term_25,team12_A2,19,17,empty-3x3,0.5
team12_A3_finish_term_25,team12_A2,team12_A2,6,29,empty-3x3,0.5
team12_A2,team12_A3_finish_term_25,team12_A2,26,12,empty-3x3,0.5
team12_A3_finish_term_25,team12_A2,team12_A3_finish_term_25,27,15,empty-3x3,0.5
team12_A2,team12_A3_finish_term_25,team12_A3_finish_term_25,11,26,empty-3x3,0.5
team12_A3_finish_term_25,team12_A2,team12_A2,16,20,empty-3x3,0.5
team12_A2,team12_A3_finish_term_25,team12_A3_finish_term_25,18,20,empty-3x3,0.5
team12_A3_finish_term_25,team12_A2,team12_A3_finish_term_25,18,17,empty-3x3,0.5
team12_A2,team12_A3_finish_term_25,team12_A3_finish_term_25,15,24,empty-3x3,0.5
team12_A3_finish_term_25,team12_A2,team12_A2,14,28,empty-3x3,0.5
team12_A2,team12_A3_finish_term_25,team12_A3_finish_term_25,15,25,empty-3x3,0.5
team12_A3_finish_term_25,team12_A2,team12_A3_finish_term_25,27,13,empty-3x3,0.5
team12_A2,team12_A3_finish_term_25,team12_A3_finish_term_25,16,22,empty-3x3,0.5
