player1,player2,winner,score1,score2,board,time
team12_A3,team12_A3_finish_term,team12_A3_finish_term,11,31,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,26,9,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,10,28,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,22,14,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,12,29,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,26,13,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,12,24,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,32,7,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,12,28,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,24,14,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3,33,8,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,22,15,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,10,30,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,25,13,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,14,26,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,29,9,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3,29,8,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,28,9,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,13,22,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3,8,29,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,8,31,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,23,13,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,12,23,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,28,10,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,11,24,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,28,9,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3,30,8,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,29,9,boards/empty-3x3,0.5
team12_A3,team12_A3_finish_term,team12_A3_finish_term,9,30,boards/empty-3x3,0.5
team12_A3_finish_term,team12_A3,team12_A3_finish_term,25,13,boards/empty-3x3,0.5
