player1,player2,winner,score1,score2,board,time
team12_A2_only_np,greedy_player,team12_A2_only_np,21,4,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,5,21,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,21,5,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,6,21,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,22,4,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,3,24,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,19,7,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,6,19,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,19,6,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,3,22,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,21,4,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,21,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A2_np_and_penalty,29,3,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,23,4,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,6,22,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,25,4,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,5,21,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,23,4,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,4,24,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,20,5,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,25,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,20,5,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,5,22,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,20,5,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,5,20,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,21,6,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,5,21,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,24,3,empty-2x3,0.3
greedy_player,team12_A2_only_np,greedy_player,22,7,empty-2x3,0.3
team12_A2_only_np,greedy_player,greedy_player,11,16,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,6,23,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,21,5,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,5,20,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,21,6,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,10,15,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,21,4,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,10,15,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,22,4,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,3,27,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,21,5,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,5,21,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,24,4,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,5,20,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,20,6,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,5,20,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,16,9,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,5,20,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,20,5,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,18,9,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,4,26,empty-2x3,0.3
team12_A2_only_np,greedy_player,greedy_player,11,14,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,5,21,empty-2x3,0.3
team12_A2_only_np,greedy_player,team12_A2_only_np,22,6,empty-2x3,0.3
greedy_player,team12_A2_only_np,team12_A2_only_np,6,22,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_only_np,team12_A1,team12_A1,3,30,empty-2x3,0.3
team12_A1,team12_A2_only_np,team12_A2_only_np,3,30,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,19,6,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,5,20,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,team12_A2_np_and_penalty,19,6,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,greedy_player,14,11,empty-2x3,0.3
team12_A2_np_and_penalty,greedy_player,greedy_player,10,16,empty-2x3,0.3
greedy_player,team12_A2_np_and_penalty,team12_A2_np_and_penalty,3,25,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
team12_A2_np_and_penalty,team12_A1,team12_A1,3,29,empty-2x3,0.3
team12_A1,team12_A2_np_and_penalty,team12_A2_np_and_penalty,4,24,empty-2x3,0.3
