player1,player2,winner,score1,score2,board,time
team12_A2,team12_A1,team12_A2,30,11,"random-3x3.txt
",0.5
team12_A1,team12_A2,team12_A1,24,15,"random-3x3.txt
",0.5
team12_A2,team12_A1,team12_A2,33,8,"random-3x3.txt
",0.5
team12_A1,team12_A2,team12_A2,13,22,"random-3x3.txt
",0.5
team12_A2,team12_A1,team12_A2,26,12,"random-3x3.txt
",0.5
team12_A1,team12_A2,team12_A2,11,26,"random-3x3.txt
",0.5
team12_A2,team12_A1,team12_A1,11,41,"random-3x4.txt
",0.5
team12_A1,team12_A2,team12_A2,11,43,"random-3x4.txt
",0.5
team12_A2,team12_A1,team12_A2,40,16,"random-3x4.txt
",0.5
team12_A1,team12_A2,team12_A2,12,40,"random-3x4.txt
",0.5
team12_A2,team12_A1,team12_A2,40,13,"random-3x4.txt
",0.5
team12_A1,team12_A2,team12_A2,12,45,"random-3x4.txt
",0.5
team12_A2,team12_A1,team12_A2,48,19,"random-4x4.txt
",5.0
team12_A1,team12_A2,team12_A2,17,48,"random-4x4.txt
",5.0
team12_A2,team12_A1,team12_A2,46,19,"random-4x4.txt
",5.0
team12_A1,team12_A2,team12_A1,39,23,"random-4x4.txt
",5.0
team12_A2,team12_A1,team12_A2,42,24,"random-4x4.txt
",5.0
team12_A1,team12_A2,team12_A2,20,47,"random-4x4.txt
",5.0
team12_A2,team12_A1,team12_A2,21,7,"random-2x3.txt
",1.0
team12_A1,team12_A2,team12_A2,8,20,"random-2x3.txt
",1.0
team12_A2,team12_A1,team12_A2,21,7,"random-2x3.txt
",1.0
team12_A1,team12_A2,team12_A2,8,20,"random-2x3.txt
",1.0
team12_A2,team12_A1,team12_A1,7,21,"random-2x3.txt
",1.0
team12_A1,team12_A2,team12_A2,10,19,"random-2x3.txt
",1.0
team12_A2,greedy_player,team12_A2,27,8,"random-3x3.txt
",0.5
greedy_player,team12_A2,team12_A2,9,29,"random-3x3.txt
",0.5
team12_A2,greedy_player,team12_A2,27,9,"random-3x3.txt
",0.5
greedy_player,team12_A2,team12_A2,8,28,"random-3x3.txt
",0.5
team12_A2,greedy_player,team12_A2,30,7,"random-3x3.txt
",0.5
greedy_player,team12_A2,team12_A2,12,25,"random-3x3.txt
",0.5
team12_A2,team12_A1,team12_A1,12,28,"random-3x3.txt
",1.0
team12_A1,team12_A2,team12_A1,28,11,"random-3x3.txt
",1.0
team12_A2,team12_A1,team12_A2,27,13,"random-3x3.txt
",1.0
team12_A1,team12_A2,team12_A1,24,14,"random-3x3.txt
",1.0
team12_A2,team12_A1,team12_A2,33,8,"random-3x3.txt
",1.0
team12_A1,team12_A2,team12_A2,14,28,"random-3x3.txt
",1.0
team12_A2,team12_A1,team12_A1,14,25,"empty-3x3.txt
",5.0
team12_A1,team12_A2,team12_A2,10,31,"empty-3x3.txt
",5.0
team12_A2,team12_A1,team12_A2,37,7,"empty-3x3.txt
",5.0
team12_A1,team12_A2,team12_A2,9,33,"empty-3x3.txt
",5.0
team12_A2,team12_A1,team12_A2,34,8,"empty-3x3.txt
",5.0
team12_A1,team12_A2,team12_A2,10,33,"empty-3x3.txt
",5.0
team12_A2,team12_A1,team12_A1,16,41,"random-3x4.txt
",1.0
team12_A1,team12_A2,team12_A2,15,37,"random-3x4.txt
",1.0
team12_A2,team12_A1,team12_A2,34,15,"random-3x4.txt
",1.0
team12_A1,team12_A2,team12_A1,44,10,"random-3x4.txt
",1.0
team12_A2,team12_A1,team12_A2,43,12,"random-3x4.txt
",1.0
team12_A1,team12_A2,team12_A2,11,44,"random-3x4.txt
",1.0
team12_A2,team12_A1,team12_A2,34,17,"random-3x4.txt
",5.0
team12_A1,team12_A2,team12_A1,38,13,"random-3x4.txt
",5.0
team12_A2,team12_A1,team12_A2,38,14,"random-3x4.txt
",5.0
team12_A1,team12_A2,team12_A1,37,14,"random-3x4.txt
",5.0
team12_A2,team12_A1,team12_A2,40,12,"random-3x4.txt
",5.0
team12_A1,team12_A2,team12_A2,13,44,"random-3x4.txt
",5.0
team12_A2,team12_A1,team12_A2,54,18,"random-4x4.txt
",0.5
team12_A1,team12_A2,team12_A2,20,50,"random-4x4.txt
",0.5
team12_A2,team12_A1,team12_A2,44,20,"random-4x4.txt
",0.5
team12_A1,team12_A2,team12_A2,22,43,"random-4x4.txt
",0.5
team12_A2,team12_A1,team12_A2,51,18,"random-4x4.txt
",0.5
team12_A1,team12_A2,team12_A1,52,16,"random-4x4.txt
",0.5
team12_A2,team12_A1,team12_A2,47,16,"random-4x4.txt
",1.0
team12_A1,team12_A2,team12_A2,24,39,"random-4x4.txt
",1.0
team12_A2,team12_A1,team12_A2,52,18,"random-4x4.txt
",1.0
team12_A1,team12_A2,team12_A1,46,20,"random-4x4.txt
",1.0
team12_A2,team12_A1,team12_A2,45,22,"random-4x4.txt
",1.0
team12_A1,team12_A2,team12_A2,24,42,"random-4x4.txt
",1.0
