player,depth,timestamp
team12_A2,4,0
team12_A2,4,2
team12_A2,4,4
team12_A2,4,6
team12_A2,4,8
team12_A2,4,10
team12_A2,5,12
team12_A2,7,14
team12_A2,6,16
team12_A2,3,18
greedy_player,1,1
greedy_player,1,3
greedy_player,1,5
greedy_player,1,7
greedy_player,1,9
greedy_player,1,11
greedy_player,1,13
greedy_player,1,15
greedy_player,1,17
greedy_player,4,0
greedy_player,4,2
greedy_player,4,4
greedy_player,4,6
greedy_player,4,8
greedy_player,5,10
greedy_player,6,12
greedy_player,5,14
greedy_player,3,16
team12_A2,1,1
team12_A2,1,3
team12_A2,1,5
team12_A2,1,7
team12_A2,1,9
team12_A2,1,11
team12_A2,1,13
team12_A2,1,15
team12_A2,1,17
team12_A2,1,0
team12_A2,1,2
team12_A2,1,4
team12_A2,1,6
team12_A2,1,8
team12_A2,1,10
team12_A2,1,12
team12_A2,1,14
team12_A2,1,16
greedy_player,4,1
greedy_player,4,3
greedy_player,3,5
greedy_player,4,7
greedy_player,4,9
greedy_player,4,11
greedy_player,5,13
greedy_player,6,15
greedy_player,6,17
greedy_player,3,19
greedy_player,1,0
greedy_player,1,2
greedy_player,1,4
greedy_player,1,6
greedy_player,1,8
greedy_player,1,10
greedy_player,1,12
greedy_player,1,14
greedy_player,1,16
team12_A2,4,1
team12_A2,4,3
team12_A2,4,5
team12_A2,4,7
team12_A2,4,9
team12_A2,5,11
team12_A2,6,13
team12_A2,5,15
team12_A2,3,17
team12_A2,4,0
team12_A2,4,2
team12_A2,4,4
team12_A2,4,6
team12_A2,4,8
team12_A2,4,10
team12_A2,4,12
team12_A2,5,14
team12_A2,6,16
team12_A2,6,18
team12_A2,3,20
greedy_player,1,1
greedy_player,1,3
greedy_player,1,5
greedy_player,1,7
greedy_player,1,9
greedy_player,1,11
greedy_player,1,13
greedy_player,1,15
greedy_player,1,17
greedy_player,1,19
greedy_player,4,0
greedy_player,4,2
greedy_player,4,4
greedy_player,4,6
greedy_player,4,8
greedy_player,4,10
greedy_player,4,12
greedy_player,5,14
greedy_player,7,16
greedy_player,5,18
greedy_player,3,20
team12_A2,1,1
team12_A2,1,3
team12_A2,1,5
team12_A2,1,7
team12_A2,1,9
team12_A2,1,11
team12_A2,1,13
team12_A2,1,15
team12_A2,1,17
team12_A2,1,19
team12_A2,1,21
team12_A2,3,0
team12_A2,3,2
team12_A2,3,4
team12_A2,4,6
team12_A2,4,8
team12_A2,4,10
team12_A2,5,12
team12_A2,11,14
team12_A2,36,16
team12_A2,80,18
team12_A1,4,1
team12_A1,4,3
team12_A1,4,5
team12_A1,4,7
team12_A1,4,9
team12_A1,4,11
team12_A1,5,13
team12_A1,7,15
team12_A1,7,17
team12_A1,4,19
team12_A1,4,0
team12_A1,4,2
team12_A1,4,4
team12_A1,4,6
team12_A1,4,8
team12_A1,4,10
team12_A1,5,12
team12_A1,7,14
team12_A1,5,16
team12_A1,3,18
team12_A2,3,1
team12_A2,3,3
team12_A2,3,5
team12_A2,3,7
team12_A2,4,9
team12_A2,4,11
team12_A2,4,13
team12_A2,6,15
team12_A2,16,17
team12_A2,62,19
team12_A2,3,0
team12_A2,3,2
team12_A2,3,4
team12_A2,4,6
team12_A2,4,8
team12_A2,4,10
team12_A2,5,12
team12_A2,11,14
team12_A2,32,16
team12_A2,131,18
team12_A1,4,1
team12_A1,4,3
team12_A1,4,5
team12_A1,4,7
team12_A1,4,9
team12_A1,4,11
team12_A1,5,13
team12_A1,7,15
team12_A1,7,17
team12_A1,4,19
team12_A1,4,0
team12_A1,4,2
team12_A1,4,4
team12_A1,3,6
team12_A1,4,8
team12_A1,4,10
team12_A1,6,12
team12_A1,6,14
team12_A1,4,16
team12_A2,3,1
team12_A2,3,3
team12_A2,3,5
team12_A2,3,7
team12_A2,4,9
team12_A2,4,11
team12_A2,5,13
team12_A2,6,15
team12_A2,30,17
team12_A2,179,19
team12_A2,4,0
team12_A2,4,2
team12_A2,4,4
team12_A2,4,6
team12_A2,4,8
team12_A2,4,10
team12_A2,5,12
team12_A2,6,14
team12_A2,7,16
team12_A2,4,18
team12_A1,3,1
team12_A1,3,3
team12_A1,3,5
team12_A1,4,7
team12_A1,4,9
team12_A1,4,11
team12_A1,5,13
team12_A1,13,15
team12_A1,41,17
team12_A1,153,19
team12_A1,3,0
team12_A1,3,2
team12_A1,3,4
team12_A1,3,6
team12_A1,4,8
team12_A1,4,10
team12_A1,4,12
team12_A1,5,14
team12_A1,19,16
team12_A1,73,18
team12_A2,4,1
team12_A2,4,3
team12_A2,4,5
team12_A2,4,7
team12_A2,4,9
team12_A2,5,11
team12_A2,6,13
team12_A2,7,15
team12_A2,5,17
team12_A2,3,19
team12_A2,5,0
team12_A2,5,2
team12_A2,5,4
team12_A2,5,6
team12_A2,5,8
team12_A2,6,10
team12_A2,7,12
team12_A2,7,14
team12_A2,5,16
team12_A2,3,18
greedy_player,1,1
greedy_player,1,3
greedy_player,1,5
greedy_player,1,7
greedy_player,1,9
greedy_player,1,11
greedy_player,1,13
greedy_player,1,15
greedy_player,1,17
greedy_player,5,0
greedy_player,5,2
greedy_player,5,4
greedy_player,5,6
greedy_player,6,8
greedy_player,6,10
greedy_player,8,12
greedy_player,5,14
greedy_player,3,16
team12_A2,1,1
team12_A2,1,3
team12_A2,1,5
team12_A2,1,7
team12_A2,1,9
team12_A2,1,11
team12_A2,1,13
team12_A2,1,15
team12_A2,1,17
team12_A2,1,0
team12_A2,1,2
team12_A2,1,4
team12_A2,1,6
team12_A2,1,8
team12_A2,1,10
team12_A2,1,12
team12_A2,1,14
team12_A2,1,16
greedy_player,5,1
greedy_player,5,3
greedy_player,5,5
greedy_player,6,7
greedy_player,6,9
greedy_player,6,11
greedy_player,7,13
greedy_player,8,15
greedy_player,4,17
greedy_player,5,0
greedy_player,5,2
greedy_player,5,4
greedy_player,5,6
greedy_player,6,8
greedy_player,6,10
greedy_player,7,12
greedy_player,8,14
greedy_player,6,16
greedy_player,3,18
team12_A2,1,1
team12_A2,1,3
team12_A2,1,5
team12_A2,1,7
team12_A2,1,9
team12_A2,1,11
team12_A2,1,13
team12_A2,1,15
team12_A2,1,17
team12_A2,1,19
team12_A2,1,0
team12_A2,1,2
team12_A2,1,4
team12_A2,1,6
team12_A2,1,8
team12_A2,1,10
team12_A2,1,12
team12_A2,1,14
team12_A2,1,16
greedy_player,5,1
greedy_player,5,3
greedy_player,5,5
greedy_player,5,7
greedy_player,6,9
greedy_player,6,11
greedy_player,6,13
greedy_player,8,15
greedy_player,5,17
greedy_player,3,19
greedy_player,1,0
greedy_player,1,2
greedy_player,1,4
greedy_player,1,6
greedy_player,1,8
greedy_player,1,10
greedy_player,1,12
greedy_player,1,14
greedy_player,1,16
team12_A2,5,1
team12_A2,5,3
team12_A2,5,5
team12_A2,5,7
team12_A2,5,9
team12_A2,7,11
team12_A2,8,13
team12_A2,5,15
team12_A2,3,17
team12_A2,5,0
team12_A2,5,2
team12_A2,5,4
team12_A2,5,6
team12_A2,5,8
team12_A2,6,10
team12_A2,6,12
team12_A2,9,14
team12_A2,7,16
team12_A2,4,18
team12_A1,4,1
team12_A1,4,3
team12_A1,4,5
team12_A1,4,7
team12_A1,4,9
team12_A1,5,11
team12_A1,10,13
team12_A1,69,15
team12_A1,248,17
team12_A1,544,19
team12_A1,4,0
team12_A1,4,2
team12_A1,4,4
team12_A1,4,6
team12_A1,5,8
team12_A1,6,10
team12_A1,11,12
team12_A1,80,14
team12_A1,482,16
team12_A2,5,1
team12_A2,5,3
team12_A2,5,5
team12_A2,5,7
team12_A2,6,9
team12_A2,7,11
team12_A2,7,13
team12_A2,5,15
team12_A2,3,17
team12_A2,5,0
team12_A2,5,2
team12_A2,5,4
team12_A2,5,6
team12_A2,5,8
team12_A2,6,10
team12_A2,7,12
team12_A2,9,14
team12_A2,7,16
team12_A2,4,18
team12_A1,4,1
team12_A1,4,3
team12_A1,4,5
team12_A1,4,7
team12_A1,4,9
team12_A1,5,11
team12_A1,10,13
team12_A1,69,15
team12_A1,231,17
team12_A1,1058,19
team12_A1,4,0
team12_A1,4,2
team12_A1,4,4
team12_A1,4,6
team12_A1,5,8
team12_A1,5,10
team12_A1,11,12
team12_A1,85,14
team12_A1,456,16
team12_A2,5,1
team12_A2,5,3
team12_A2,5,5
team12_A2,5,7
team12_A2,6,9
team12_A2,6,11
team12_A2,7,13
team12_A2,5,15
team12_A2,3,17
team12_A2,5,0
team12_A2,5,2
team12_A2,5,4
team12_A2,5,6
team12_A2,5,8
team12_A2,6,10
team12_A2,6,12
team12_A2,9,14
team12_A2,7,16
team12_A2,4,18
team12_A1,4,1
team12_A1,4,3
team12_A1,4,5
team12_A1,4,7
team12_A1,4,9
team12_A1,5,11
team12_A1,9,13
team12_A1,64,15
team12_A1,215,17
team12_A1,733,19
team12_A1,4,0
team12_A1,4,2
team12_A1,4,4
team12_A1,4,6
team12_A1,5,8
team12_A1,6,10
team12_A1,11,12
team12_A1,85,14
team12_A1,498,16
team12_A2,5,1
team12_A2,5,3
team12_A2,5,5
team12_A2,5,7
team12_A2,6,9
team12_A2,6,11
team12_A2,7,13
team12_A2,5,15
team12_A2,3,17
team12_A2,6,0
team12_A2,6,2
team12_A2,5,4
team12_A2,5,6
team12_A2,6,8
team12_A2,6,10
team12_A2,9,12
team12_A2,8,14
team12_A2,5,16
team12_A2,3,18
greedy_player,1,1
greedy_player,1,3
greedy_player,1,5
greedy_player,1,7
greedy_player,1,9
greedy_player,1,11
greedy_player,1,13
greedy_player,1,15
greedy_player,1,17
greedy_player,5,0
greedy_player,5,2
greedy_player,5,4
greedy_player,6,6
greedy_player,6,8
greedy_player,10,10
greedy_player,7,12
greedy_player,5,14
greedy_player,3,16
team12_A2,1,1
team12_A2,1,3
team12_A2,1,5
team12_A2,1,7
team12_A2,1,9
team12_A2,1,11
team12_A2,1,13
team12_A2,1,15
team12_A2,1,17
team12_A2,1,0
team12_A2,1,2
team12_A2,1,4
team12_A2,1,6
team12_A2,1,8
team12_A2,1,10
team12_A2,1,12
team12_A2,1,14
team12_A2,1,16
greedy_player,6,1
greedy_player,6,3
greedy_player,5,5
greedy_player,6,7
greedy_player,6,9
greedy_player,7,11
greedy_player,10,13
greedy_player,6,15
greedy_player,4,17
greedy_player,5,0
greedy_player,5,2
greedy_player,5,4
greedy_player,6,6
greedy_player,7,8
greedy_player,9,10
greedy_player,9,12
greedy_player,6,14
greedy_player,3,16
team12_A2,1,1
team12_A2,1,3
team12_A2,1,5
team12_A2,1,7
team12_A2,1,9
team12_A2,1,11
team12_A2,1,13
team12_A2,1,15
team12_A2,1,17
team12_A2,1,0
team12_A2,1,2
team12_A2,1,4
team12_A2,1,6
team12_A2,1,8
team12_A2,1,10
team12_A2,1,12
team12_A2,1,14
team12_A2,1,16
greedy_player,6,1
greedy_player,6,3
greedy_player,6,5
greedy_player,5,7
greedy_player,6,9
greedy_player,7,11
greedy_player,7,13
greedy_player,8,15
greedy_player,5,17
greedy_player,3,19
greedy_player,1,0
greedy_player,1,2
greedy_player,1,4
greedy_player,1,6
greedy_player,1,8
greedy_player,1,10
greedy_player,1,12
greedy_player,1,14
greedy_player,1,16
team12_A2,5,1
team12_A2,6,3
team12_A2,5,5
team12_A2,6,7
team12_A2,7,9
team12_A2,10,11
team12_A2,8,13
team12_A2,5,15
team12_A2,3,17
team12_A2,6,0
team12_A2,6,2
team12_A2,5,4
team12_A2,5,6
team12_A2,6,8
team12_A2,7,10
team12_A2,8,12
team12_A2,9,14
team12_A2,7,16
team12_A2,4,18
team12_A1,4,1
team12_A1,4,3
team12_A1,4,5
team12_A1,4,7
team12_A1,5,9
team12_A1,6,11
team12_A1,15,13
team12_A1,129,15
team12_A1,479,17
team12_A1,1587,19
team12_A1,4,0
team12_A1,4,2
team12_A1,4,4
team12_A1,5,6
team12_A1,5,8
team12_A1,6,10
team12_A1,8,12
team12_A1,37,14
team12_A1,438,16
team12_A1,2115,18
team12_A2,5,1
team12_A2,5,3
team12_A2,5,5
team12_A2,6,7
team12_A2,6,9
team12_A2,8,11
team12_A2,8,13
team12_A2,6,15
team12_A2,4,17
team12_A2,4,0
team12_A2,4,2
team12_A2,4,4
team12_A2,4,6
team12_A2,5,8
