player1,player2,winner,score1,score2,board,time
team12_A2_reg,greedy_player,team12_A2_reg,34,7,empty-2x3,0.3
greedy_player,team12_A2_reg,team12_A2_reg,8,27,empty-2x3,0.3
team12_A2_reg,greedy_player,team12_A2_reg,25,11,empty-2x3,0.3
greedy_player,team12_A2_reg,team12_A2_reg,8,28,empty-2x3,0.3
team12_A2_reg,greedy_player,team12_A2_reg,22,14,empty-2x3,0.3
greedy_player,team12_A2_reg,team12_A2_reg,6,30,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A1,10,30,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A2_reg,10,31,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A1,10,30,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A2_reg,10,31,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A1,10,33,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A2_reg,10,31,empty-2x3,0.3
team12_A2_reg,greedy_player,team12_A2_reg,27,8,empty-2x3,0.3
greedy_player,team12_A2_reg,greedy_player,19,16,empty-2x3,0.3
team12_A2_reg,greedy_player,team12_A2_reg,27,9,empty-2x3,0.3
greedy_player,team12_A2_reg,greedy_player,18,17,empty-2x3,0.3
team12_A2_reg,greedy_player,team12_A2_reg,31,8,empty-2x3,0.3
greedy_player,team12_A2_reg,team12_A2_reg,9,27,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A2_reg,36,7,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A2_reg,14,24,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A2_reg,36,7,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A2_reg,14,24,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A2_reg,36,7,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A2_reg,14,24,empty-2x3,0.3
team12_A2_reg,greedy_player,team12_A2_reg,28,7,empty-2x3,0.3
greedy_player,team12_A2_reg,team12_A2_reg,9,29,empty-2x3,0.3
greedy_player,team12_A2_reg,team12_A2_reg,9,29,empty-2x3,0.3
team12_A2_reg,greedy_player,team12_A2_reg,26,9,empty-2x3,0.3
greedy_player,team12_A2_reg,team12_A2_reg,8,27,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A1,14,27,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A2_reg,12,28,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A1,12,29,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A2_reg,12,31,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A1,14,27,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A2_reg,12,31,empty-2x3,0.3
team12_A2_reg,greedy_player,team12_A2_reg,33,7,empty-2x3,0.3
greedy_player,team12_A2_reg,team12_A2_reg,10,26,empty-2x3,0.3
team12_A2_reg,greedy_player,team12_A2_reg,28,11,empty-2x3,0.3
greedy_player,team12_A2_reg,greedy_player,19,17,empty-2x3,0.3
team12_A2_reg,greedy_player,team12_A2_reg,29,7,empty-2x3,0.3
greedy_player,team12_A2_reg,team12_A2_reg,8,30,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A2_reg,31,10,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A1,32,10,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A2_reg,31,10,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A1,32,10,empty-2x3,0.3
team12_A2_reg,team12_A1,team12_A2_reg,31,10,empty-2x3,0.3
team12_A1,team12_A2_reg,team12_A2_reg,8,34,empty-2x3,0.3
