player1,player2,winner,score1,score2,board,time
team12_A2_taboo_11,greedy_player,team12_A2_taboo_11,21,4,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,greedy_player,14,11,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,team12_A2_taboo_11,21,6,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,team12_A2_taboo_11,4,21,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,greedy_player,8,18,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,team12_A2_taboo_11,10,18,empty-2x3,0.3
team12_A2_taboo_11,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_taboo_11,team12_A2_taboo_11,4,24,empty-2x3,0.3
team12_A2_taboo_11,team12_A1,team12_A1,3,24,empty-2x3,0.3
team12_A1,team12_A2_taboo_11,team12_A2_taboo_11,4,24,empty-2x3,0.3
team12_A2_taboo_11,team12_A1,team12_A1,4,23,empty-2x3,0.3
team12_A1,team12_A2_taboo_11,team12_A2_taboo_11,4,24,empty-2x3,0.3
team12_A2_taboo_10,greedy_player,team12_A2_taboo_10,20,5,empty-2x3,0.3
greedy_player,team12_A2_taboo_10,team12_A2_taboo_10,8,17,empty-2x3,0.3
team12_A2_taboo_10,greedy_player,team12_A2_taboo_10,22,4,empty-2x3,0.3
greedy_player,team12_A2_taboo_10,team12_A2_taboo_10,6,21,empty-2x3,0.3
team12_A2_taboo_10,greedy_player,team12_A2_taboo_10,22,4,empty-2x3,0.3
greedy_player,team12_A2_taboo_10,team12_A2_taboo_10,5,22,empty-2x3,0.3
team12_A2_taboo_10,team12_A1,team12_A2_taboo_10,30,3,empty-2x3,0.3
team12_A1,team12_A2_taboo_10,team12_A2_taboo_10,4,24,empty-2x3,0.3
team12_A2_taboo_10,team12_A1,team12_A2_taboo_10,25,4,empty-2x3,0.3
team12_A1,team12_A2_taboo_10,team12_A2_taboo_10,4,24,empty-2x3,0.3
team12_A2_taboo_10,team12_A1,team12_A1,4,25,empty-2x3,0.3
team12_A1,team12_A2_taboo_10,team12_A2_taboo_10,4,24,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,greedy_player,9,17,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,team12_A2_taboo_11,7,18,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,team12_A2_taboo_11,22,5,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,team12_A2_taboo_11,9,18,empty-2x3,0.3
team12_A2_taboo_11,greedy_player,team12_A2_taboo_11,24,4,empty-2x3,0.3
greedy_player,team12_A2_taboo_11,team12_A2_taboo_11,5,24,empty-2x3,0.3
team12_A2_taboo_11,team12_A1,team12_A1,4,23,empty-2x3,0.3
