player1,player2,winner,score1,score2,board,time
team12_A3,team12_A3_tt,team12_A3,29,10,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3_tt,31,10,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3_tt,11,25,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3_tt,25,13,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3_tt,8,31,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3,9,31,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3,32,9,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3,12,29,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3_tt,9,26,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3_tt,23,12,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3,25,10,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3,9,32,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3_tt,12,24,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3,11,31,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3,31,11,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3,10,31,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3,29,12,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3,10,29,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3,29,9,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3,12,27,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3_tt,11,28,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3_tt,29,10,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3,26,9,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3,8,33,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3,33,8,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3,9,31,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3,28,10,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3_tt,30,9,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3_tt,14,22,empty-3x3,0.5
team12_A3_tt,team12_A3,team12_A3,10,31,empty-3x3,0.5
team12_A3,team12_A3_tt,team12_A3,44,21,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3_tt,51,23,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,43,18,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3_tt,54,17,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3_tt,20,50,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3_tt,45,20,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3_tt,23,44,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3_tt,40,24,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,45,18,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3,26,42,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,49,18,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3,17,47,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,47,18,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3,19,48,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,44,18,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3,20,44,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,47,16,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3,16,52,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,46,16,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3_tt,42,22,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,50,19,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3_tt,54,18,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3_tt,12,59,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3,22,44,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,45,20,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3_tt,51,17,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,52,17,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3,23,47,empty-4x4,0.5
team12_A3,team12_A3_tt,team12_A3,58,12,empty-4x4,0.5
team12_A3_tt,team12_A3,team12_A3,18,52,empty-4x4,0.5
