player1,player2,winner,score1,score2,board,time
team12_A2_filter_1_01,greedy_player,greedy_player,9,26,empty-2x3,0.3
greedy_player,team12_A2_filter_1_01,greedy_player,22,13,empty-2x3,0.3
team12_A2_filter_1_01,greedy_player,team12_A2_filter_1_01,28,7,empty-2x3,0.3
greedy_player,team12_A2_filter_1_01,greedy_player,18,17,empty-2x3,0.3
team12_A2_filter_1_01,greedy_player,team12_A2_filter_1_01,26,9,empty-2x3,0.3
greedy_player,team12_A2_filter_1_01,team12_A2_filter_1_01,9,27,empty-2x3,0.3
team12_A2_filter_1_01,team12_A1,team12_A1,12,29,empty-2x3,0.3
team12_A1,team12_A2_filter_1_01,team12_A2_filter_1_01,14,26,empty-2x3,0.3
team12_A2_filter_1_01,team12_A1,team12_A1,9,30,empty-2x3,0.3
team12_A1,team12_A2_filter_1_01,team12_A1,29,9,empty-2x3,0.3
team12_A2_filter_1_01,team12_A1,team12_A1,6,32,empty-2x3,0.3
team12_A1,team12_A2_filter_1_01,team12_A1,30,8,empty-2x3,0.3
team12_A2_filter_1_02,greedy_player,greedy_player,17,20,empty-2x3,0.3
greedy_player,team12_A2_filter_1_02,team12_A2_filter_1_02,8,27,empty-2x3,0.3
team12_A2_filter_1_02,greedy_player,team12_A2_filter_1_02,19,18,empty-2x3,0.3
greedy_player,team12_A2_filter_1_02,greedy_player,22,13,empty-2x3,0.3
team12_A2_filter_1_02,greedy_player,team12_A2_filter_1_02,31,7,empty-2x3,0.3
greedy_player,team12_A2_filter_1_02,greedy_player,23,12,empty-2x3,0.3
team12_A2_filter_1_02,team12_A1,team12_A1,6,37,empty-2x3,0.3
team12_A1,team12_A2_filter_1_02,team12_A1,30,9,empty-2x3,0.3
team12_A2_filter_1_02,team12_A1,team12_A1,8,32,empty-2x3,0.3
team12_A1,team12_A2_filter_1_02,team12_A1,30,9,empty-2x3,0.3
team12_A2_filter_1_02,team12_A1,team12_A1,7,32,empty-2x3,0.3
team12_A1,team12_A2_filter_1_02,team12_A1,39,6,empty-2x3,0.3
team12_A2_filter_1_03,greedy_player,team12_A2_filter_1_03,27,9,empty-2x3,0.3
greedy_player,team12_A2_filter_1_03,greedy_player,19,16,empty-2x3,0.3
team12_A2_filter_1_03,greedy_player,greedy_player,13,24,empty-2x3,0.3
greedy_player,team12_A2_filter_1_03,greedy_player,21,16,empty-2x3,0.3
team12_A2_filter_1_03,greedy_player,greedy_player,15,20,empty-2x3,0.3
greedy_player,team12_A2_filter_1_03,team12_A2_filter_1_03,7,30,empty-2x3,0.3
team12_A2_filter_1_03,team12_A1,team12_A1,7,30,empty-2x3,0.3
team12_A1,team12_A2_filter_1_03,team12_A1,33,8,empty-2x3,0.3
team12_A2_filter_1_03,team12_A1,team12_A1,7,28,empty-2x3,0.3
team12_A1,team12_A2_filter_1_03,team12_A1,27,11,empty-2x3,0.3
team12_A2_filter_1_03,team12_A1,team12_A2_filter_1_03,31,9,empty-2x3,0.3
team12_A2_filter_1_05,greedy_player,team12_A2_filter_1_05,28,9,empty-2x3,0.3
greedy_player,team12_A2_filter_1_05,team12_A2_filter_1_05,6,30,empty-2x3,0.3
team12_A2_filter_1_05,greedy_player,greedy_player,11,28,empty-2x3,0.3
greedy_player,team12_A2_filter_1_05,team12_A2_filter_1_05,12,23,empty-2x3,0.3
team12_A2_filter_1_05,greedy_player,team12_A2_filter_1_05,18,17,empty-2x3,0.3
greedy_player,team12_A2_filter_1_05,team12_A2_filter_1_05,11,27,empty-2x3,0.3
team12_A2_filter_1_05,team12_A1,team12_A1,7,35,empty-2x3,0.3
team12_A1,team12_A2_filter_1_05,team12_A1,33,8,empty-2x3,0.3
team12_A2_filter_1_05,team12_A1,team12_A1,7,34,empty-2x3,0.3
team12_A1,team12_A2_filter_1_05,team12_A1,29,9,empty-2x3,0.3
team12_A2_filter_1_05,team12_A1,team12_A2_filter_1_05,28,14,empty-2x3,0.3
team12_A1,team12_A2_filter_1_05,team12_A1,31,13,empty-2x3,0.3
team12_A2_filter_2_01,greedy_player,team12_A2_filter_2_01,29,10,empty-2x3,0.3
greedy_player,team12_A2_filter_2_01,team12_A2_filter_2_01,9,29,empty-2x3,0.3
team12_A2_filter_2_01,greedy_player,team12_A2_filter_2_01,28,7,empty-2x3,0.3
greedy_player,team12_A2_filter_2_01,team12_A2_filter_2_01,11,24,empty-2x3,0.3
team12_A2_filter_2_01,greedy_player,team12_A2_filter_2_01,22,14,empty-2x3,0.3
greedy_player,team12_A2_filter_2_01,team12_A2_filter_2_01,10,26,empty-2x3,0.3
team12_A2_filter_2_01,team12_A1,team12_A2_filter_2_01,30,10,empty-2x3,0.3
team12_A1,team12_A2_filter_2_01,team12_A2_filter_2_01,12,25,empty-2x3,0.3
