player 1,player 2,time,board,score ratio,winner
team12_A1,random_player,0.1,"random-2x3.txt
",0.852,team12_A1
random_player,team12_A1,0.1,"random-2x3.txt
",0.5,draw
team12_A1,random_player,0.1,"random-2x3.txt
",0.938,team12_A1
random_player,team12_A1,0.1,"random-2x3.txt
",0.906,team12_A1
team12_A1,random_player,0.1,"random-2x3.txt
",0.808,team12_A1
random_player,team12_A1,0.1,"random-2x3.txt
",0.69,team12_A1
team12_A1,random_player,0.5,"random-2x3.txt
",0.839,team12_A1
random_player,team12_A1,0.5,"random-2x3.txt
",0.719,team12_A1
team12_A1,random_player,0.5,"random-2x3.txt
",0.846,team12_A1
random_player,team12_A1,0.5,"random-2x3.txt
",0.862,team12_A1
team12_A1,random_player,0.5,"random-2x3.txt
",0.875,team12_A1
random_player,team12_A1,0.5,"random-2x3.txt
",0.903,team12_A1
team12_A1,random_player,1,"random-2x3.txt
",0.759,team12_A1
random_player,team12_A1,1,"random-2x3.txt
",0.5860000000000001,team12_A1
team12_A1,random_player,1,"random-2x3.txt
",0.846,team12_A1
random_player,team12_A1,1,"random-2x3.txt
",0.893,team12_A1
team12_A1,random_player,1,"random-2x3.txt
",0.677,team12_A1
random_player,team12_A1,1,"random-2x3.txt
",0.852,team12_A1
team12_A1,random_player,5,"random-2x3.txt
",0.862,team12_A1
random_player,team12_A1,5,"random-2x3.txt
",0.943,team12_A1
team12_A1,random_player,5,"random-2x3.txt
",0.806,team12_A1
random_player,team12_A1,5,"random-2x3.txt
",0.897,team12_A1
team12_A1,random_player,5,"random-2x3.txt
",0.793,team12_A1
random_player,team12_A1,5,"random-2x3.txt
",0.857,team12_A1
team12_A1,greedy_player,0.1,"random-2x3.txt
",0.72,team12_A1
greedy_player,team12_A1,0.1,"random-2x3.txt
",0.76,team12_A1
team12_A1,greedy_player,0.1,"random-2x3.txt
",0.8,team12_A1
greedy_player,team12_A1,0.1,"random-2x3.txt
",0.6799999999999999,team12_A1
team12_A1,greedy_player,0.1,"random-2x3.txt
",0.36,greedy_player
greedy_player,team12_A1,0.1,"random-2x3.txt
",0.76,team12_A1
team12_A1,greedy_player,0.5,"random-2x3.txt
",0.4,greedy_player
greedy_player,team12_A1,0.5,"random-2x3.txt
",0.72,team12_A1
team12_A1,greedy_player,0.5,"random-2x3.txt
",0.76,team12_A1
greedy_player,team12_A1,0.5,"random-2x3.txt
",0.714,team12_A1
team12_A1,greedy_player,0.5,"random-2x3.txt
",0.75,team12_A1
greedy_player,team12_A1,0.5,"random-2x3.txt
",0.76,team12_A1
team12_A1,greedy_player,1,"random-2x3.txt
",0.731,team12_A1
greedy_player,team12_A1,1,"random-2x3.txt
",0.679,team12_A1
team12_A1,greedy_player,1,"random-2x3.txt
",0.69,team12_A1
greedy_player,team12_A1,1,"random-2x3.txt
",0.36,greedy_player
team12_A1,greedy_player,1,"random-2x3.txt
",0.852,team12_A1
greedy_player,team12_A1,1,"random-2x3.txt
",0.64,team12_A1
team12_A1,greedy_player,5,"random-2x3.txt
",0.76,team12_A1
greedy_player,team12_A1,5,"random-2x3.txt
",0.52,team12_A1
team12_A1,greedy_player,5,"random-2x3.txt
",0.72,team12_A1
greedy_player,team12_A1,5,"random-2x3.txt
",0.72,team12_A1
team12_A1,greedy_player,5,"random-2x3.txt
",0.68,team12_A1
greedy_player,team12_A1,5,"random-2x3.txt
",0.76,team12_A1
team12_A1,random_player,0.1,"empty-3x3.txt
",0.512,team12_A1
random_player,team12_A1,0.1,"empty-3x3.txt
",0.825,team12_A1
team12_A1,random_player,0.1,"empty-3x3.txt
",0.65,team12_A1
random_player,team12_A1,0.1,"empty-3x3.txt
",0.95,team12_A1
team12_A1,random_player,0.1,"empty-3x3.txt
",0.868,team12_A1
random_player,team12_A1,0.1,"empty-3x3.txt
",0.837,team12_A1
team12_A1,random_player,0.5,"empty-3x3.txt
",0.762,team12_A1
random_player,team12_A1,0.5,"empty-3x3.txt
",0.865,team12_A1
team12_A1,random_player,0.5,"empty-3x3.txt
",0.542,team12_A1
random_player,team12_A1,0.5,"empty-3x3.txt
",0.744,team12_A1
team12_A1,random_player,0.5,"empty-3x3.txt
",0.889,team12_A1
random_player,team12_A1,0.5,"empty-3x3.txt
",0.875,team12_A1
team12_A1,random_player,1,"empty-3x3.txt
",0.75,team12_A1
random_player,team12_A1,1,"empty-3x3.txt
",0.925,team12_A1
team12_A1,random_player,1,"empty-3x3.txt
",0.86,team12_A1
random_player,team12_A1,1,"empty-3x3.txt
",0.897,team12_A1
team12_A1,random_player,1,"empty-3x3.txt
",0.905,team12_A1
random_player,team12_A1,1,"empty-3x3.txt
",0.778,team12_A1
team12_A1,random_player,5,"empty-3x3.txt
",0.897,team12_A1
random_player,team12_A1,5,"empty-3x3.txt
",0.868,team12_A1
team12_A1,random_player,5,"empty-3x3.txt
",0.829,team12_A1
random_player,team12_A1,5,"empty-3x3.txt
",0.744,team12_A1
team12_A1,random_player,5,"empty-3x3.txt
",0.814,team12_A1
random_player,team12_A1,5,"empty-3x3.txt
",0.6739999999999999,team12_A1
team12_A1,greedy_player,0.1,"empty-3x3.txt
",0.806,team12_A1
greedy_player,team12_A1,0.1,"empty-3x3.txt
",0.769,team12_A1
team12_A1,greedy_player,0.1,"empty-3x3.txt
",0.541,team12_A1
greedy_player,team12_A1,0.1,"empty-3x3.txt
",0.821,team12_A1
team12_A1,greedy_player,0.1,"empty-3x3.txt
",0.829,team12_A1
greedy_player,team12_A1,0.1,"empty-3x3.txt
",0.833,team12_A1
team12_A1,greedy_player,0.5,"empty-3x3.txt
",0.838,team12_A1
greedy_player,team12_A1,0.5,"empty-3x3.txt
",0.389,greedy_player
team12_A1,greedy_player,0.5,"empty-3x3.txt
",0.821,team12_A1
greedy_player,team12_A1,0.5,"empty-3x3.txt
",0.838,team12_A1
team12_A1,greedy_player,0.5,"empty-3x3.txt
",0.436,greedy_player
greedy_player,team12_A1,0.5,"empty-3x3.txt
",0.763,team12_A1
team12_A1,greedy_player,1,"empty-3x3.txt
",0.789,team12_A1
greedy_player,team12_A1,1,"empty-3x3.txt
",0.757,team12_A1
team12_A1,greedy_player,1,"empty-3x3.txt
",0.73,team12_A1
greedy_player,team12_A1,1,"empty-3x3.txt
",0.821,team12_A1
team12_A1,greedy_player,1,"empty-3x3.txt
",0.805,team12_A1
greedy_player,team12_A1,1,"empty-3x3.txt
",0.833,team12_A1
team12_A1,greedy_player,5,"empty-3x3.txt
",0.444,greedy_player
greedy_player,team12_A1,5,"empty-3x3.txt
",0.7110000000000001,team12_A1
team12_A1,greedy_player,5,"empty-3x3.txt
",0.861,team12_A1
greedy_player,team12_A1,5,"empty-3x3.txt
",0.85,team12_A1
team12_A1,greedy_player,5,"empty-3x3.txt
",0.833,team12_A1
greedy_player,team12_A1,5,"empty-3x3.txt
",0.8160000000000001,team12_A1
team12_A1,random_player,0.1,"random-3x3.txt
",0.875,team12_A1
random_player,team12_A1,0.1,"random-3x3.txt
",0.886,team12_A1
team12_A1,random_player,0.1,"random-3x3.txt
",0.75,team12_A1
random_player,team12_A1,0.1,"random-3x3.txt
",0.683,team12_A1
team12_A1,random_player,0.1,"random-3x3.txt
",0.641,team12_A1
random_player,team12_A1,0.1,"random-3x3.txt
",0.881,team12_A1
team12_A1,random_player,0.5,"random-3x3.txt
",0.925,team12_A1
random_player,team12_A1,0.5,"random-3x3.txt
",0.605,team12_A1
team12_A1,random_player,0.5,"random-3x3.txt
",0.786,team12_A1
random_player,team12_A1,0.5,"random-3x3.txt
",0.8,team12_A1
team12_A1,random_player,0.5,"random-3x3.txt
",0.833,team12_A1
random_player,team12_A1,0.5,"random-3x3.txt
",0.837,team12_A1
team12_A1,random_player,1,"random-3x3.txt
",0.595,team12_A1
random_player,team12_A1,1,"random-3x3.txt
",0.857,team12_A1
team12_A1,random_player,1,"random-3x3.txt
",0.86,team12_A1
random_player,team12_A1,1,"random-3x3.txt
",0.837,team12_A1
team12_A1,random_player,1,"random-3x3.txt
",0.707,team12_A1
random_player,team12_A1,1,"random-3x3.txt
",0.878,team12_A1
team12_A1,random_player,5,"random-3x3.txt
",0.63,team12_A1
random_player,team12_A1,5,"random-3x3.txt
",0.649,team12_A1
team12_A1,random_player,5,"random-3x3.txt
",0.55,team12_A1
random_player,team12_A1,5,"random-3x3.txt
",0.905,team12_A1
team12_A1,random_player,5,"random-3x3.txt
",0.878,team12_A1
random_player,team12_A1,5,"random-3x3.txt
",0.85,team12_A1
team12_A1,greedy_player,0.1,"random-3x3.txt
",0.846,team12_A1
greedy_player,team12_A1,0.1,"random-3x3.txt
",0.75,team12_A1
team12_A1,greedy_player,0.1,"random-3x3.txt
",0.667,team12_A1
greedy_player,team12_A1,0.1,"random-3x3.txt
",0.29300000000000004,greedy_player
team12_A1,greedy_player,0.1,"random-3x3.txt
",0.447,greedy_player
greedy_player,team12_A1,0.1,"random-3x3.txt
",0.743,team12_A1
team12_A1,greedy_player,0.5,"random-3x3.txt
",0.703,team12_A1
greedy_player,team12_A1,0.5,"random-3x3.txt
",0.743,team12_A1
team12_A1,greedy_player,0.5,"random-3x3.txt
",0.306,greedy_player
